Corrected Field Length (M),-40,14,18,22,24,26,28,30,42,46,50
1220,58.1,53.4,53.0,52.7,52.5,52.3,52.2,52.0,47.9,46.7,45.4
1400,62.3,57.2,56.8,56.5,56.3,56.1,55.9,55.7,51.4,50.0,48.6
1600,66.5,61.1,60.7,60.3,60.1,59.9,59.7,59.5,54.8,53.4,51.9
1800,70.6,64.8,64.4,64.0,63.7,63.5,63.3,63.1,58.1,56.6,55.0
2000,72.5,68.7,68.2,67.8,67.6,67.4,67.1,66.9,61.6,60.0,58.4
2200,72.5,71.7,71.2,70.8,70.5,70.3,70.1,69.8,64.3,62.6,60.8
2400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,66.7,64.9,63.0
2600,72.5,72.5,72.5,72.2,71.9,71.7,70.8,69.9,64.6,62.7,60.9
2800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.6,69.7,67.6
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.6,69.5
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.4
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.2,70.1,68.1
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT,68.8,68.2,68.1,68.1,68.0,67.9,67.9,67.8,60.4,58.1,55.8
